nct_id,brief_title,overall_status,phase,study_type,start_date,completion_date,enrollment,condition,lead_sponsor,sponsor_type,country
NCT00830635,Multimedia Educational Program for Patients With Early-Stage Prostate Cancer or Breast Cancer,COMPLETED,NA,INTERVENTIONAL,2008-09,2013-12,1800,Breast Cancer,"University of Colorado, Denver",OTHER,United States
NCT04643535,In Vivo Glycocalyx as Predictor of Complications After Cardiac Surgery,TERMINATED,,OBSERVATIONAL,2020-11-30,2025-12-30,130,Endothelial Dysfunction,"University Hospital, Rouen",OTHER,France
NCT05920135,First-in-Human Study of BBT-207 in Advanced Non-Small Cell Lung Cancer Harboring EGFR Mutation After Treatment With EGFR TKI,ACTIVE_NOT_RECRUITING,PHASE1,INTERVENTIONAL,2023-09-11,2028-08-01,24,EGFR Mutant Advanced Non-Small Cell Lung Cancer,"Bridge Biotherapeutics, Inc.",INDUSTRY,South Korea
NCT04877535,Pilot Study for Postoperative Machine Learning,COMPLETED,NA,INTERVENTIONAL,2021-06-03,2023-05-11,222,Surgery--Complications,Washington University School of Medicine,OTHER,United States
NCT04780035,"Study of the Tolerability, Safety, Immunogenicity and Preventive Efficacy of the EpiVacCorona Vaccine for the Prevention of COVID-19",COMPLETED,PHASE3,INTERVENTIONAL,2020-11-27,2021-12-20,3000,COVID-19,"Federal Budgetary Research Institution State Research Center of Virology and Biotechnology ""Vector""",OTHER_GOV,Russia
NCT01739335,Novel Therapeutics in Posttraumatic Stress Disorder (PTSD): A Randomized Clinical Trial of Mifepristone,COMPLETED,PHASE2,INTERVENTIONAL,2012-11-19,2016-11-16,81,"Stress Disorders, Post-Traumatic",VA Office of Research and Development,FED,United States
NCT07192835,Effect of Fruit Elicitation With Melatonin on Human Health,COMPLETED,NA,INTERVENTIONAL,2025-03-01,2025-08-01,22,Healthy,Universidad Miguel Hernandez de Elche,OTHER,Spain
NCT02897635,Integrative Approaches For Cancer Survivorship 2: Project 1,COMPLETED,NA,INTERVENTIONAL,2016-09,2018-09-21,20,Breast Cancer,"University of California, San Francisco",OTHER,United States
NCT05723835,A Research Study Looking at How Safe Somapacitan is and How Well it Works in Children Who Need Help to Grow - REAL 9,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2023-02-01,2027-10-29,47,SGA,Novo Nordisk A/S,INDUSTRY,Malaysia|Netherlands|Poland|South Korea|Spain
NCT03043235,Race Adiposity Interactions Regulate Mechanisms Determining Insulin Sensitivity,COMPLETED,,OBSERVATIONAL,2014-01-08,2018-06-30,126,Insulin Sensitivity,University of Alabama at Birmingham,OTHER,United States
NCT05029635,Phase III Study on HMPL-523 for Treatment of ITP,ACTIVE_NOT_RECRUITING,PHASE3,INTERVENTIONAL,2021-10-27,2025-05-30,272,Primary Immune Thrombocytopenia (ITP),Hutchison Medipharma Limited,INDUSTRY,China
NCT03243435,Sienna+MR Long-term Uptake,COMPLETED,,OBSERVATIONAL,2016-07,2017-04,34,Breast Cancer Female,Kantonsspital Baden,OTHER,Switzerland
NCT04336735,Improving Immunization Rates in Transplant Candidates Through the Use of a Health Information Technology Tool,UNKNOWN,NA,INTERVENTIONAL,2022-01-01,2024-08,45,Transplantation Infection,"University of Colorado, Denver",OTHER,United States
NCT02170935,Pharmacokinetic (PK) Assessment of BIBR 1048 in Patients After Primary Elective Total Hip Replacement Surgery,COMPLETED,PHASE2,INTERVENTIONAL,2002-04,,62,Venous Thromboembolism,Boehringer Ingelheim,INDUSTRY,
NCT06563908,Lipiodol Prior to FET (LIFE),NOT_YET_RECRUITING,NA,INTERVENTIONAL,2024-08-10,2026-12,784,IVF,Mỹ Đức Hospital,OTHER,
NCT01025908,Cognitive Behavior Psychotherapy in Panic Disorder,COMPLETED,NA,INTERVENTIONAL,2006-05,2007-04,50,Panic Disorder,Universidade Federal do Rio de Janeiro,OTHER,Brazil
NCT05124808,Intensive Glycemic Targets in Overweight and Obese Women With Gestational Diabetes,RECRUITING,NA,INTERVENTIONAL,2022-03-01,2026-04-08,828,Gestational Diabetes,Indiana University,OTHER,United States
NCT07290608,DOACT Algorithm Versus AI-Based Decision Models in Oral Anticoagulant Therapy for Vascular Patients,COMPLETED,NA,INTERVENTIONAL,2025-01-20,2025-10-10,59,Deep Vein Thrombosis,ITALO EUGENIO SOUZA GADELHA DE ABREU,OTHER,Brazil
NCT05704608,Effects of Aerobic Training Program On Liver Functions,COMPLETED,NA,INTERVENTIONAL,2021-09-01,2022-11-30,30,Liver Functions,King Saud University,OTHER,Saudi Arabia
NCT07190508,Pre-Sedation Fluid Replacement and Duodenal Passage Effects on Intraocular Pressure,COMPLETED,,OBSERVATIONAL,2025-09-16,2025-10-16,40,Intraocular Pressure Changes,Sevim Şenol Karataş,OTHER,Turkey (Türkiye)
NCT00017108,Chlorambucil in Treating Patients With Advanced Chronic Lymphocytic Leukemia,UNKNOWN,PHASE3,INTERVENTIONAL,2001-03,,,Leukemia,European Organisation for Research and Treatment of Cancer - EORTC,NETWORK,Belgium|Czechia|Hungary|Italy|Netherlands
NCT02596308,Immunogenicity and Safety of Subunit Plague Vaccine,COMPLETED,PHASE2,INTERVENTIONAL,2014-10,2015-01,240,Plague,Jiangsu Province Centers for Disease Control and Prevention,NETWORK,China
NCT02433808,Neostigmine Reversal And Neuromuscular Recovery,COMPLETED,PHASE4,INTERVENTIONAL,2015-04,2017-04,120,Residual Neuromuscular Block,Endeavor Health,OTHER,United States
NCT07226908,Human Thalamus in Propagation of Temporal Lobe Seizures and Memory Formation,ENROLLING_BY_INVITATION,NA,INTERVENTIONAL,2024-09-01,2029-08,100,Epilepsy,Stanford University,OTHER,United States
NCT01479608,Liver Transplantation and Colorectal Cancer,RECRUITING,NA,INTERVENTIONAL,2012-04-11,2027-12,25,Colorectal Cancer,Oslo University Hospital,OTHER,Norway
NCT07302308,Action Outcome Latencies as a Measure of Sense of Agency in Functional Movement Disorders.,NOT_YET_RECRUITING,,OBSERVATIONAL,2026-01-31,2028-01-31,30,Functional Movement Disorder,"Western University, Canada",OTHER,Canada
